Time (CDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Fri 08:37:42 AM    Departure (KJEF) @ Friday 08:37:42 AM CDT			 FlightAware
Fri 08:37:42 AM	38.5849	-92.1433	↘ 123°	79	91	931	 Level	 FlightAware ADS-B (KDMO)
Fri 08:38:17 AM	38.5761	-92.1320	↓ 173°	76	87	1,206	787 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:38:33 AM	38.5717	-92.1355	↙ 223°	70	81	1,600	1,161 Climbing	 FlightAware ADS-B (KVER)
Fri 08:38:49 AM	38.5685	-92.1399	↙ 230°	61	70	1,825	682 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:39:06 AM	38.5655	-92.1455	↙ 243°	65	75	1,975	682 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:39:22 AM	38.5638	-92.1505	← 248°	57	66	2,200	706 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:39:40 AM	38.5624	-92.1560	← 261°	53	61	2,375	529 Climbing	 FlightAware ADS-B (KJEF)
Fri 08:39:56 AM	38.5623	-92.1612	← 278°	59	68	2,500	516 Climbing	 FlightAware ADS-B (KMHL)
Fri 08:40:12 AM	38.5622	-92.1668	← 247°	64	74	2,650	609 Climbing	 FlightAware ADS-B (KTBN)
Fri 08:40:28 AM	38.5598	-92.1713	↙ 228°	65	75	2,825	574 Climbing	 FlightAware ADS-B (KTBN)
Fri 08:40:46 AM	38.5568	-92.1776	← 252°	62	71	2,975	441 Climbing	 FlightAware ADS-B (KVER)
Fri 08:41:02 AM	38.5544	-92.1830	↙ 232°	71	82	3,075	516 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:41:18 AM	38.5515	-92.1884	↙ 239°	68	78	3,250	563 Climbing	 FlightAware ADS-B (KTBN)
Fri 08:41:34 AM	38.5492	-92.1937	↙ 243°	67	77	3,375	469 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:41:50 AM	38.5466	-92.1995	↙ 233°	71	82	3,500	516 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:42:06 AM	38.5434	-92.2048	↙ 233°	69	79	3,650	318 Climbing	 FlightAware ADS-B (KJEF)
Fri 08:42:23 AM	38.5399	-92.2117	↙ 242°	83	96	3,675	383 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:42:53 AM	38.5356	-92.2231	↙ 243°	64	74	3,950	210 Climbing	 FlightAware ADS-B (KJEF)
Fri 08:43:13 AM	38.5328	-92.2324	← 253°	89	102	3,850	-125 Descending	 FlightAware ADS-B (KJEF)
Fri 08:43:29 AM	38.5312	-92.2401	← 259°	91	105	3,875	91 Climbing	 FlightAware ADS-B (KTBN)
Fri 08:43:46 AM	38.5306	-92.2495	← 272°	90	104	3,900	44 Climbing	 FlightAware ADS-B (KVER)
Fri 08:44:03 AM	38.5311	-92.2585	← 273°	84	97	3,900	-129 Descending	 FlightAware ADS-B (KSZL)
Fri 08:44:21 AM	38.5315	-92.2672	← 275°	86	99	3,825	-191 Descending	 FlightAware ADS-B (KCOU)
Fri 08:44:50 AM	38.5318	-92.2819	← 272°	81	93	3,750	-56 Descending	 FlightAware ADS-B (KCOU)
Fri 08:45:15 AM	38.5326	-92.2931	← 277°	74	85	3,775	27 Climbing	 FlightAware ADS-B (KVER)
Fri 08:45:46 AM	38.5346	-92.3069	← 282°	76	87	3,775	-63 Descending	 FlightAware ADS-B (KVER)
Fri 08:46:03 AM	38.5357	-92.3148	← 268°	80	92	3,725	-81 Descending	 FlightAware ADS-B (KSZL)
Fri 08:46:23 AM	38.5285	-92.3199	↓ 174°	111	128	3,725	-39 Descending	 FlightAware ADS-B (KVER)
Fri 08:46:41 AM	38.5207	-92.3146	↘ 149°	120	138	3,700	-105 Descending	 FlightAware ADS-B (KJEF)
Fri 08:47:06 AM	38.5116	-92.3210	↙ 239°	88	101	3,650	-35 Descending	 FlightAware ADS-B (KVER)
Fri 08:47:24 AM	38.5088	-92.3289	← 249°	85	98	3,675	243 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:47:43 AM	38.5070	-92.3381	← 261°	77	89	3,800	-122 Descending	 FlightAware ADS-B (KSZL)
Fri 08:48:01 AM	38.5073	-92.3461	← 281°	87	100	3,600	-375 Descending	 FlightAware ADS-B (KJEF)
Fri 08:48:27 AM	38.5093	-92.3584	← 280°	80	92	3,525	-202 Descending	 FlightAware ADS-B (KTBN)
Fri 08:48:53 AM	38.5118	-92.3707	← 288°	81	93	3,425	-188 Descending	 FlightAware ADS-B (KSZL)
Fri 08:49:15 AM	38.5147	-92.3804	← 292°	82	94	3,375	-39 Descending	 FlightAware ADS-B (KSZL)
Fri 08:49:31 AM	38.5140	-92.3871	↙ 243°	84	97	3,400	-167 Descending	 FlightAware ADS-B (KCOU)
Fri 08:49:51 AM	38.5056	-92.3909	↓ 167°	113	130	3,275	-237 Descending	 FlightAware ADS-B (KVER)
Fri 08:50:09 AM	38.4978	-92.3859	↓ 189°	105	121	3,250	-86 Descending	 FlightAware ADS-B (KJEF)
Fri 08:50:26 AM	38.4923	-92.3918	↙ 224°	89	102	3,225	-122 Descending	 FlightAware ADS-B (KMHL)
Fri 08:50:46 AM	38.4827	-92.3940	↓ 169°	114	131	3,175	-33 Descending	 FlightAware ADS-B (KCOU)
Fri 08:51:11 AM	38.4701	-92.3917	↓ 175°	109	125	3,200	36 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:51:28 AM	38.4625	-92.3909	↓ 176°	107	123	3,200	31 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:52:00 AM	38.4468	-92.3887	↓ 174°	106	122	3,225	63 Climbing	 FlightAware ADS-B (KTBN)
Fri 08:52:16 AM	38.4383	-92.3876	↓ 176°	104	120	3,250	102 Climbing	 FlightAware ADS-B (KSZL)
Fri 08:52:44 AM	38.4251	-92.3870	↓ 182°	99	114	3,300	63 Climbing	 FlightAware ADS-B (KVER)
Fri 08:53:04 AM	38.4162	-92.3873	↓ 178°	99	114	3,300	 Level	 FlightAware ADS-B (KVER)
Fri 08:53:31 AM	38.4036	-92.3878	↓ 180°	99	114	3,300	33 Climbing	 FlightAware ADS-B (KSZL)
Fri 08:53:49 AM	38.3955	-92.3874	↓ 179°	98	113	3,325	-44 Descending	 FlightAware ADS-B (KTBN)
Fri 08:54:05 AM	38.3881	-92.3871	↓ 178°	104	120	3,275	-42 Descending	 FlightAware ADS-B (KDMO)
Fri 08:54:25 AM	38.3787	-92.3873	↓ 179°	96	110	3,300	 Level	 FlightAware ADS-B (KVER)
Fri 08:54:45 AM	38.3692	-92.3862	↓ 169°	104	120	3,275	-65 Descending	 FlightAware ADS-B (KSZL)
Fri 08:55:11 AM	38.3571	-92.3821	↓ 169°	105	121	3,250	33 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:55:30 AM	38.3476	-92.3807	↓ 170°	101	116	3,300	42 Climbing	 FlightAware ADS-B (KVER)
Fri 08:55:47 AM	38.3398	-92.3789	↓ 172°	102	117	3,275	-42 Descending	 FlightAware ADS-B (KSZL)
Fri 08:56:06 AM	38.3321	-92.3806	↙ 236°	76	87	3,275	-86 Descending	 FlightAware ADS-B (KVER)
Fri 08:56:22 AM	38.3348	-92.3850	↑ 4°	96	110	3,225	-91 Descending	 FlightAware ADS-B (KCOU)
Fri 08:56:39 AM	38.3427	-92.3824	↑ 14°	100	115	3,225	91 Climbing	 FlightAware ADS-B (KVER)
Fri 08:56:55 AM	38.3493	-92.3811	↑ 9°	84	97	3,275	94 Climbing	 FlightAware ADS-B (KCOU)
Fri 08:57:11 AM	38.3538	-92.3794	↗ 27°	55	63	3,275	-397 Descending	 FlightAware ADS-B (KCOU)
Fri 08:57:29 AM	38.3581	-92.3761	↗ 33°	55	63	3,050	-811 Descending	 FlightAware ADS-B (KVER)
Fri 08:57:48 AM	38.3623	-92.3727	↗ 26°	72	83	2,775	-279 Descending	 FlightAware ADS-B (KVER)
Fri 08:58:12 AM	38.3703	-92.3692	↑ 14°	88	101	2,850	409 Climbing	 FlightAware ADS-B (KMHL)
Fri 08:58:32 AM	38.3780	-92.3666	↑ 17°	83	96	3,075	577 Climbing	 FlightAware ADS-B (KVER)
Fri 08:58:51 AM	38.3852	-92.3625	↑ 20°	89	102	3,225	343 Climbing	 FlightAware ADS-B (KVER)
Fri 08:59:07 AM	38.3919	-92.3593	↗ 25°	98	113	3,275	158 Climbing	 FlightAware ADS-B (KVER)
Fri 08:59:29 AM	38.4008	-92.3541	↗ 23°	94	108	3,325	115 Climbing	 FlightAware ADS-B (KDMO)
Fri 08:59:59 AM	38.4132	-92.3492	↑ 14°	89	102	3,375	90 Climbing	 FlightAware ADS-B (KSZL)
Fri 09:00:19 AM	38.4211	-92.3469	↑ 13°	88	101	3,400	-39 Descending	 FlightAware ADS-B (KSZL)
Fri 09:00:37 AM	38.4285	-92.3446	↑ 19°	96	110	3,350	 Level	 FlightAware ADS-B (KSZL)
Fri 09:01:03 AM	38.4387	-92.3403	↑ 15°	90	104	3,400	 Level	 FlightAware ADS-B (KSZL)
Fri 09:01:19 AM	38.4452	-92.3383	↑ 13°	94	108	3,350	 Level	 FlightAware ADS-B (KTBN)
Fri 09:01:35 AM	38.4512	-92.3398	↖ 318°	72	83	3,400	141 Climbing	 FlightAware ADS-B (KDMO)
Fri 09:01:51 AM	38.4567	-92.3419	↑ 3°	83	96	3,425	34 Climbing	 FlightAware ADS-B (KSZL)
Fri 09:02:19 AM	38.4676	-92.3409	↑ 1°	84	97	3,425	 Level	 FlightAware ADS-B (KCOU)
Fri 09:02:41 AM	38.4764	-92.3398	↑ 8°	91	105	3,425	 Level	 FlightAware ADS-B (KMHL)
Fri 09:02:59 AM	38.4841	-92.3386	↑ 8°	92	106	3,425	 Level	 FlightAware ADS-B (KJEF)
Fri 09:03:15 AM	38.4905	-92.3377	↑ 6°	92	106	3,425	-42 Descending	 FlightAware ADS-B (KJEF)
Fri 09:03:35 AM	38.4994	-92.3362	↑ 12°	94	108	3,400	-150 Descending	 FlightAware ADS-B (KJEF)
