Time (EDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Thu 02:54:08 PM    Departure (KJEF) @ Thursday 01:54:08 PM CDT			 FlightAware
Thu 02:54:08 PM	38.6015	-92.1694	← 295°	76	87	1,381	 Level	 FlightAware ADS-B (KVER)
Thu 02:54:24 PM	38.6026	-92.1771	← 267°	84	97	1,481	844 Climbing	 FlightAware ADS-B (KJEF)
Thu 02:54:40 PM	38.6008	-92.1852	← 251°	76	87	1,831	864 Climbing	 FlightAware ADS-B (KJEF)
Thu 02:54:57 PM	38.5978	-92.1915	↙ 227°	83	96	1,956	574 Climbing	 FlightAware ADS-B (KVER)
Thu 02:55:14 PM	38.5930	-92.1977	↙ 228°	81	93	2,156	591 Climbing	 FlightAware ADS-B (KDMO)
Thu 02:55:30 PM	38.5890	-92.2035	↙ 231°	82	94	2,281	591 Climbing	 FlightAware ADS-B (KVER)
Thu 02:55:47 PM	38.5848	-92.2097	↙ 227°	83	96	2,481	864 Climbing	 FlightAware ADS-B (KTBN)
Thu 02:56:03 PM	38.5806	-92.2161	↙ 232°	83	96	2,756	938 Climbing	 FlightAware ADS-B (KJEF)
Thu 02:56:19 PM	38.5780	-92.2223	← 254°	74	85	2,981	609 Climbing	 FlightAware ADS-B (KJEF)
Thu 02:56:35 PM	38.5755	-92.2292	↙ 233°	81	93	3,081	469 Climbing	 FlightAware ADS-B (KJEF)
Thu 02:56:51 PM	38.5713	-92.2348	↙ 224°	81	93	3,231	703 Climbing	 FlightAware ADS-B (KDMO)
Thu 02:57:07 PM	38.5674	-92.2394	↙ 225°	83	96	3,456	932 Climbing	 FlightAware ADS-B (KVER)
Thu 02:57:28 PM	38.5621	-92.2483	↙ 237°	82	94	3,806	878 Climbing	 FlightAware ADS-B (KTBN)
Thu 02:57:48 PM	38.5577	-92.2553	↙ 232°	78	90	4,056	500 Climbing	 FlightAware ADS-B (KMHL)
Thu 02:58:07 PM	38.5525	-92.2629	↙ 230°	91	105	4,131	343 Climbing	 FlightAware ADS-B (KCOU)
Thu 02:58:23 PM	38.5481	-92.2694	↙ 230°	99	114	4,256	314 Climbing	 FlightAware ADS-B (KDMO)
Thu 02:58:50 PM	38.5392	-92.2806	↙ 225°	105	121	4,356	34 Climbing	 FlightAware ADS-B (KCOU)
Thu 02:59:07 PM	38.5342	-92.2882	↙ 235°	99	114	4,281	-395 Descending	 FlightAware ADS-B (KJEF)
Thu 02:59:28 PM	38.5293	-92.2972	↙ 236°	95	109	4,106	-63 Descending	 FlightAware ADS-B (KMHL)
Thu 02:59:55 PM	38.5239	-92.3098	↙ 244°	90	104	4,231	306 Climbing	 FlightAware ADS-B (KCOU)
Thu 03:00:17 PM	38.5199	-92.3206	↙ 242°	93	107	4,356	-65 Descending	 FlightAware ADS-B (KTBN)
