Time (EDT) 	Latitude 	Longitude 	Course 	kts 	mph 	feet 	Rate 	Reporting Facility
Thu 02:38:34 PM    Departure (KJEF) @ Thursday 01:38:34 PM CDT			FlightAware
Thu 02:38:34 PM 	38.6006 	-92.1706 	← 313° 	78 	90 	1,156 	 Level 	FlightAware ADS-B (KJEF)
Thu 02:39:38 PM 	38.5992 	-92.1971 	← 250° 	86 	99 	1,756 	574 Climbing 	FlightAware ADS-B (KVER)
Thu 02:39:55 PM 	38.5965 	-92.2056 	← 252° 	90 	104 	1,931 	574 Climbing 	FlightAware ADS-B (KVER)
Thu 02:40:12 PM 	38.5940 	-92.2142 	↙ 243° 	89 	102 	2,081 	500 Climbing 	FlightAware ADS-B (KVER)
Thu 02:40:28 PM 	38.5909 	-92.2215 	↙ 241° 	88 	101 	2,206 	469 Climbing 	FlightAware ADS-B (KCOU)
Thu 02:40:44 PM 	38.5877 	-92.2285 	↙ 240° 	87 	100 	2,331 	422 Climbing 	FlightAware ADS-B (KVER)
Thu 02:41:00 PM 	38.5847 	-92.2357 	↙ 241° 	88 	101 	2,431 	516 Climbing 	FlightAware ADS-B (KVER)
Thu 02:41:16 PM 	38.5820 	-92.2432 	← 249° 	88 	101 	2,606 	618 Climbing 	FlightAware ADS-B (KVER)
Thu 02:41:34 PM 	38.5794 	-92.2519 	← 252° 	85 	98 	2,781 	477 Climbing 	FlightAware ADS-B (KCOU)
Thu 02:42:00 PM 	38.5757 	-92.2638 	← 246° 	86 	99 	2,956 	571 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:42:16 PM 	38.5730 	-92.2711 	↙ 243° 	87 	100 	3,181 	706 Climbing 	FlightAware ADS-B (KDMO)
Thu 02:42:34 PM 	38.5696 	-92.2794 	↙ 245° 	89 	102 	3,356 	522 Climbing 	FlightAware ADS-B (KCOU)
Thu 02:43:02 PM 	38.5650 	-92.2925 	← 247° 	91 	105 	3,581 	406 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:43:22 PM 	38.5613 	-92.3029 	↙ 245° 	97 	112 	3,681 	333 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:43:47 PM 	38.5561 	-92.3160 	↙ 242° 	104 	120 	3,831 	146 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:44:03 PM 	38.5523 	-92.3250 	↙ 243° 	108 	124 	3,781 	-94 Descending 	FlightAware ADS-B (KVER)
Thu 02:44:19 PM 	38.5486 	-92.3336 	↙ 241° 	106 	122 	3,781 	-67 Descending 	FlightAware ADS-B (KVER)
Thu 02:44:48 PM 	38.5419 	-92.3492 	↙ 242° 	104 	120 	3,731 	-153 Descending 	FlightAware ADS-B (KTBN)
Thu 02:45:08 PM 	38.5370 	-92.3602 	↙ 241° 	106 	122 	3,656 	-203 Descending 	FlightAware ADS-B (KVER)
Thu 02:45:25 PM 	38.5332 	-92.3696 	↙ 243° 	106 	122 	3,606 	-228 Descending 	FlightAware ADS-B (KMHL)
Thu 02:45:54 PM 	38.5267 	-92.3856 	↙ 245° 	103 	119 	3,481 	-67 Descending 	FlightAware ADS-B (KTBN)
Thu 02:46:10 PM 	38.5237 	-92.3940 	↙ 245° 	99 	114 	3,556 	65 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:46:40 PM 	38.5177 	-92.4103 	↙ 244° 	101 	116 	3,531 	33 Climbing 	FlightAware ADS-B (KDMO)
Thu 02:46:56 PM 	38.5134 	-92.4183 	↙ 222° 	96 	110 	3,581 	88 Climbing 	FlightAware ADS-B (KDMO)
Thu 02:47:14 PM 	38.5061 	-92.4207 	↓ 166° 	100 	115 	3,581 	83 Climbing 	FlightAware ADS-B (KVER)
Thu 02:47:32 PM 	38.4984 	-92.4183 	↓ 179° 	94 	108 	3,631 	 Level 	FlightAware ADS-B (KDMO)
Thu 02:47:52 PM 	38.4897 	-92.4196 	↓ 192° 	98 	113 	3,581 	-75 Descending 	FlightAware ADS-B (KTBN)
Thu 02:48:12 PM 	38.4869 	-92.4288 	← 303° 	93 	107 	3,581 	 Level 	FlightAware ADS-B (KTBN)
Thu 02:48:28 PM 	38.4924 	-92.4326 	↑ 5° 	89 	102 	3,581 	-83 Descending 	FlightAware ADS-B (KSZL)
Thu 02:48:48 PM 	38.4967 	-92.4243 	→ 93° 	92 	106 	3,531 	-150 Descending 	FlightAware ADS-B (KTBN)
Thu 02:49:08 PM 	38.4898 	-92.4191 	↓ 183° 	98 	113 	3,481 	-70 Descending 	FlightAware ADS-B (KVER)
Thu 02:49:31 PM 	38.4792 	-92.4195 	↓ 184° 	97 	112 	3,481 	75 Climbing 	FlightAware ADS-B (KVER)
Thu 02:49:48 PM 	38.4721 	-92.4203 	↓ 182° 	94 	108 	3,531 	182 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:50:04 PM 	38.4650 	-92.4208 	↓ 185° 	96 	110 	3,581 	197 Climbing 	FlightAware ADS-B (KVER)
Thu 02:50:26 PM 	38.4557 	-92.4210 	↓ 180° 	102 	117 	3,656 	118 Climbing 	FlightAware ADS-B (KCOU)
Thu 02:50:42 PM 	38.4484 	-92.4213 	↓ 182° 	85 	98 	3,656 	37 Climbing 	FlightAware ADS-B (KCOU)
Thu 02:51:07 PM 	38.4410 	-92.4224 	↓ 186° 	63 	72 	3,681 	90 Climbing 	FlightAware ADS-B (KDMO)
Thu 02:51:32 PM 	38.4337 	-92.4242 	↓ 195° 	62 	71 	3,731 	67 Climbing 	FlightAware ADS-B (KVER)
Thu 02:51:52 PM 	38.4281 	-92.4267 	↙ 201° 	63 	72 	3,731 	38 Climbing 	FlightAware ADS-B (KVER)
Thu 02:52:11 PM 	38.4229 	-92.4291 	↙ 204° 	62 	71 	3,756 	75 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:52:32 PM 	38.4172 	-92.4311 	↓ 188° 	62 	71 	3,781 	39 Climbing 	FlightAware ADS-B (KAIZ)
Thu 02:52:49 PM 	38.4123 	-92.4320 	↓ 187° 	61 	70 	3,781 	39 Climbing 	FlightAware ADS-B (KTBN)
Thu 02:53:10 PM 	38.4062 	-92.4322 	↓ 183° 	62 	71 	3,806 	 Level 	FlightAware ADS-B (KVER)
Thu 02:53:32 PM 	38.4001 	-92.4330 	↓ 187° 	63 	72 	3,781 	-71 Descending 	FlightAware ADS-B (KVER)
Thu 02:53:52 PM 	38.3941 	-92.4348 	↓ 200° 	66 	76 	3,756 	-115 Descending 	FlightAware ADS-B (KTBN)
Thu 02:54:11 PM 	38.3888 	-92.4366 	↓ 194° 	67 	77 	3,706 	43 Climbing 	FlightAware ADS-B (KDMO)
Thu 02:54:27 PM 	38.3843 	-92.4374 	↓ 184° 	61 	70 	3,781 	203 Climbing 	FlightAware ADS-B (KCOU)
