Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Fri 16:32:49    Departure (KJEF) @ Friday 16:32:49 CDT		 FlightAware
Fri 16:32:49	38.5664	-92.1432	← 247°	96	1,506	 Level	 FlightAware ADS-B (KVER)
Fri 16:33:55	38.5512	-92.1731	↙ 233°	87	2,331	741 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:34:12	38.5465	-92.1808	↙ 232°	89	2,531	636 Climbing	 FlightAware ADS-B (KDMO)
Fri 16:34:28	38.5428	-92.1873	↙ 235°	92	2,681	703 Climbing	 FlightAware ADS-B (KDMO)
Fri 16:34:44	38.5386	-92.1942	↙ 232°	92	2,906	727 Climbing	 FlightAware ADS-B (KCOU)
Fri 16:35:01	38.5346	-92.2011	↙ 234°	94	3,081	567 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:35:29	38.5270	-92.2133	↙ 229°	93	3,331	520 Climbing	 FlightAware ADS-B (KMHL)
Fri 16:35:50	38.5211	-92.2218	↙ 228°	95	3,506	349 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:36:12	38.5139	-92.2322	↙ 227°	105	3,581	75 Climbing	 FlightAware ADS-B (KDMO)
Fri 16:36:30	38.5083	-92.2399	↙ 228°	108	3,556	63 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:37:00	38.4987	-92.2551	↙ 233°	103	3,631	32 Climbing	 FlightAware ADS-B (KTBN)
Fri 16:37:17	38.4937	-92.2631	↙ 231°	107	3,581	 Level	 FlightAware ADS-B (KCOU)
Fri 16:37:38	38.4876	-92.2733	↙ 233°	105	3,631	29 Climbing	 FlightAware ADS-B (KCOU)
Fri 16:38:09	38.4792	-92.2874	↙ 231°	102	3,606	 Level	 FlightAware ADS-B (KVER)
Fri 16:38:29	38.4724	-92.2982	↙ 232°	103	3,631	 Level	 FlightAware ADS-B (KCOU)
Fri 16:38:47	38.4675	-92.3064	↙ 234°	104	3,606	58 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:39:21	38.4573	-92.3234	↙ 234°	101	3,681	-6 Descending	 FlightAware ADS-B (KCOU)
Fri 16:39:51	38.4483	-92.3378	↙ 231°	105	3,600	-99 Descending	 FlightAware ADS-B (KCOU)
Fri 16:40:10	38.4430	-92.3464	↙ 232°	105	3,600	-158 Descending	 FlightAware ADS-B (KDMO)
Fri 16:40:29	38.4401	-92.3568	← 304°	100	3,500	 Level	 FlightAware ADS-B (KCOU)
Fri 16:40:47	38.4469	-92.3569	↗ 54°	87	3,600	167 Climbing	 FlightAware ADS-B (KTBN)
Fri 16:41:05	38.4504	-92.3495	↗ 49°	87	3,600	 Level	 FlightAware ADS-B (KMHL)
Fri 16:41:27	38.4566	-92.3403	↗ 49°	87	3,600	 Level	 FlightAware ADS-B (KTBN)
Fri 16:41:44	38.4612	-92.3333	↗ 49°	88	3,600	 Level	 FlightAware ADS-B (KDMO)
Fri 16:42:03	38.4661	-92.3263	↗ 49°	89	3,600	 Level	 FlightAware ADS-B (KJEF)
Fri 16:42:24	38.4718	-92.3180	↗ 48°	91	3,600	 Level	 FlightAware ADS-B (KJEF)
Fri 16:42:54	38.4798	-92.3055	↗ 54°	91	3,600	 Level	 FlightAware ADS-B (KJEF)
Fri 16:43:24	38.4874	-92.2926	↗ 53°	92	3,600	 Level	 FlightAware ADS-B (KJEF)
Fri 16:43:47	38.4936	-92.2831	↗ 50°	94	3,600	 Level	 FlightAware ADS-B (KSZL)
Fri 16:44:10	38.5005	-92.2729	↗ 50°	90	3,600	-143 Descending	 FlightAware ADS-B (KCOU)
Fri 16:44:29	38.5052	-92.2646	↗ 60°	94	3,500	-333 Descending	 FlightAware ADS-B (KTBN)
Fri 16:44:46	38.5091	-92.2578	↗ 46°	88	3,400	-324 Descending	 FlightAware ADS-B (KCOU)
Fri 16:45:06	38.5154	-92.2508	↗ 35°	86	3,300	-300 Descending	 FlightAware ADS-B (KVER)
Fri 16:45:26	38.5224	-92.2446	↗ 31°	89	3,200	-316 Descending	 FlightAware ADS-B (KDMO)
Fri 16:45:44	38.5287	-92.2399	↗ 29°	91	3,100	-429 Descending	 FlightAware ADS-B (KTBN)
Fri 16:46:08	38.5374	-92.2337	↗ 31°	90	2,900	-375 Descending	 FlightAware ADS-B (KVER)
Fri 16:46:32	38.5460	-92.2268	↗ 32°	91	2,800	-429 Descending	 FlightAware ADS-B (KMHL)
Fri 16:46:50	38.5523	-92.2218	↗ 30°	94	2,600	-529 Descending	 FlightAware ADS-B (KVER)
Fri 16:47:06	38.5582	-92.2175	↗ 32°	92	2,500	-545 Descending	 FlightAware ADS-B (KTBN)
Fri 16:47:23	38.5645	-92.2123	↗ 31°	92	2,300	-727 Descending	 FlightAware ADS-B (KDMO)
Fri 16:47:39	38.5706	-92.2081	↗ 27°	92	2,100	-563 Descending	 FlightAware ADS-B (KCOU)
Fri 16:47:55	38.5763	-92.2044	↗ 26°	94	2,000	-563 Descending	 FlightAware ADS-B (KCOU)
Fri 16:48:11	38.5827	-92.2004	↗ 27°	89	1,800	-545 Descending	 FlightAware ADS-B (KCOU)
Fri 16:48:28	38.5887	-92.1964	↗ 27°	89	1,700	-364 Descending	 FlightAware ADS-B (KVER)
Fri 16:48:44	38.5942	-92.1932	↗ 23°	84	1,600	-364 Descending	 FlightAware ADS-B (KJEF)
Fri 16:49:01	38.5994	-92.1896	↗ 35°	72	1,500	-529 Descending	 FlightAware ADS-B (KJEF)
Fri 16:49:18	38.6027	-92.1837	→ 94°	77	1,300	-727 Descending	 FlightAware ADS-B (KJEF)
Fri 16:49:34	38.6013	-92.1770	→ 108°	69	1,100	-857 Descending	 FlightAware ADS-B (KJEF)
Fri 16:49:53	38.5986	-92.1700	↘ 122°	71	800	166 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:51:59	38.5908	-92.1305	← 311°	84	1,500	329 Climbing	 FlightAware ADS-B (KCOU)
Fri 16:52:19	38.5948	-92.1401	← 297°	98	1,600	324 Climbing	 FlightAware ADS-B (KCOU)
Fri 16:52:36	38.5982	-92.1478	← 303°	90	1,700	182 Climbing	 FlightAware ADS-B (KDMO)
Fri 16:52:52	38.6026	-92.1540	← 312°	88	1,700	 Level	 FlightAware ADS-B (KJEF)
Fri 16:53:08	38.6068	-92.1603	← 309°	90	1,700	-188 Descending	 FlightAware ADS-B (KJEF)
Fri 16:53:24	38.6104	-92.1664	← 304°	81	1,600	-563 Descending	 FlightAware ADS-B (KJEF)
Fri 16:53:40	38.6135	-92.1733	← 295°	78	1,400	-667 Descending	 FlightAware ADS-B (KCOU)
Fri 16:54:00	38.6100	-92.1810	↙ 211°	90	1,200	-500 Descending	 FlightAware ADS-B (KVER)
Fri 16:54:16	38.6044	-92.1822	↓ 169°	84	1,100	-316 Descending	 FlightAware ADS-B (KVER)
Fri 16:54:38	38.6004	-92.1742	↘ 119°	66	1,000	155 Climbing	 FlightAware ADS-B (KJEF)
Fri 16:56:51	38.5916	-92.1305	↖ 324°	80	1,500	238 Climbing	 FlightAware ADS-B (KCOU)
Fri 16:57:09	38.5953	-92.1376	← 303°	94	1,600	176 Climbing	 FlightAware ADS-B (KVER)
Fri 16:57:25	38.5990	-92.1445	← 306°	94	1,600	 Level	 FlightAware ADS-B (KJEF)
Fri 16:57:42	38.6037	-92.1526	← 307°	91	1,600	 Level	 FlightAware ADS-B (KCOU)
Fri 16:57:58	38.6072	-92.1590	← 304°	93	1,600	-182 Descending	 FlightAware ADS-B (KJEF)
Fri 16:58:15	38.6113	-92.1666	← 306°	84	1,500	-364 Descending	 FlightAware ADS-B (KJEF)
Fri 16:58:31	38.6141	-92.1739	← 267°	83	1,400	-563 Descending	 FlightAware ADS-B (KVER)
Fri 16:58:47	38.6101	-92.1804	↙ 214°	88	1,200	-514 Descending	 FlightAware ADS-B (KVER)
Fri 16:59:06	38.6042	-92.1819	↘ 137°	78	1,100	-343 Descending	 FlightAware ADS-B (KJEF)
Fri 16:59:22	38.6014	-92.1762	↘ 121°	70	1,000	-514 Descending	 FlightAware ADS-B (KJEF)
Fri 16:59:41	38.5982	-92.1691	↘ 120°	68	800	201 Climbing	 FlightAware ADS-B (KJEF)
Fri 17:01:51	38.5908	-92.1303	← 312°	81	1,500	327 Climbing	 FlightAware ADS-B (KCOU)
Fri 17:02:08	38.5948	-92.1373	← 305°	91	1,600	364 Climbing	 FlightAware ADS-B (KCOU)
Fri 17:02:24	38.5984	-92.1437	← 309°	85	1,700	158 Climbing	 FlightAware ADS-B (KVER)
Fri 17:02:46	38.6037	-92.1519	← 309°	85	1,700	-150 Descending	 FlightAware ADS-B (KDMO)
Fri 17:03:04	38.6085	-92.1599	← 308°	90	1,600	-333 Descending	 FlightAware ADS-B (KCOU)
Fri 17:03:22	38.6128	-92.1671	← 307°	77	1,500	-486 Descending	 FlightAware ADS-B (KJEF)
Fri 17:03:41	38.6132	-92.1753	↙ 229°	87	1,300	-514 Descending	 FlightAware ADS-B (KVER)
