Time (CDT) 	Latitude 	Longitude 	Course 	kts 	feet 	Rate 	Reporting Facility
Tue 18:21:17    Departure (KJEF) @ Tuesday 18:21:17 CDT
		FlightAware
Tue 18:21:17 	38.5718 	-92.1500 	↙ 235° 	77 	1,631 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:21:34 	38.5680 	-92.1562 	↙ 232° 	80 	1,781 	771 Climbing 	FlightAware ADS-B (KVER)
Tue 18:21:52 	38.5636 	-92.1629 	↙ 233° 	80 	2,081 	838 Climbing 	FlightAware ADS-B (KJEF)
Tue 18:22:08 	38.5602 	-92.1685 	↙ 237° 	82 	2,256 	844 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:22:24 	38.5561 	-92.1751 	↙ 233° 	82 	2,531 	938 Climbing 	FlightAware ADS-B (KVER)
Tue 18:22:40 	38.5525 	-92.1817 	↙ 238° 	82 	2,756 	818 Climbing 	FlightAware ADS-B (KJEF)
Tue 18:22:57 	38.5492 	-92.1886 	↙ 238° 	82 	2,981 	864 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:23:13 	38.5458 	-92.1946 	↙ 231° 	77 	3,231 	703 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:23:29 	38.5420 	-92.2000 	↙ 228° 	80 	3,356 	609 Climbing 	FlightAware ADS-B (KSZL)
Tue 18:23:45 	38.5382 	-92.2058 	↙ 231° 	80 	3,556 	516 Climbing 	FlightAware ADS-B (KVER)
Tue 18:24:01 	38.5342 	-92.2117 	↙ 227° 	93 	3,631 	250 Climbing 	FlightAware ADS-B (KSZL)
Tue 18:24:27 	38.5260 	-92.2233 	↙ 231° 	102 	3,731 	107 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:24:43 	38.5212 	-92.2307 	↙ 234° 	101 	3,706 	-83 Descending 	FlightAware ADS-B (KJEF)
Tue 18:25:03 	38.5152 	-92.2398 	↙ 234° 	98 	3,681 	-118 Descending 	FlightAware ADS-B (KTBN)
Tue 18:25:21 	38.5104 	-92.2481 	↙ 234° 	97 	3,631 	-44 Descending 	FlightAware ADS-B (KVER)
Tue 18:25:37 	38.5063 	-92.2551 	↙ 232° 	96 	3,656 	43 Climbing 	FlightAware ADS-B (KVER)
Tue 18:25:56 	38.5007 	-92.2642 	↙ 232° 	98 	3,656 	 Level 	FlightAware ADS-B (KJEF)
Tue 18:26:21 	38.4939 	-92.2751 	↙ 234° 	96 	3,656 	65 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:26:42 	38.4881 	-92.2845 	↙ 235° 	99 	3,706 	 Level 	FlightAware ADS-B (KTBN)
Tue 18:27:08 	38.4808 	-92.2963 	↙ 234° 	99 	3,656 	-65 Descending 	FlightAware ADS-B (KVER)
Tue 18:27:28 	38.4735 	-92.3022 	↓ 179° 	100 	3,656 	-42 Descending 	FlightAware ADS-B (KVER)
Tue 18:27:44 	38.4679 	-92.2974 	↘ 121° 	99 	3,631 	-136 Descending 	FlightAware ADS-B (KDMO)
Tue 18:28:01 	38.4618 	-92.2914 	↓ 181° 	96 	3,581 	-132 Descending 	FlightAware ADS-B (KVER)
Tue 18:28:18 	38.4558 	-92.2947 	↙ 227° 	92 	3,556 	-136 Descending 	FlightAware ADS-B (KVER)
Tue 18:28:34 	38.4555 	-92.3032 	← 297° 	95 	3,506 	-45 Descending 	FlightAware ADS-B (KSZL)
Tue 18:28:51 	38.4594 	-92.3116 	← 287° 	95 	3,531 	44 Climbing 	FlightAware ADS-B (KVER)
Tue 18:29:08 	38.4588 	-92.3203 	← 246° 	95 	3,531 	39 Climbing 	FlightAware ADS-B (KDMO)
Tue 18:29:29 	38.4526 	-92.3301 	↙ 228° 	92 	3,556 	88 Climbing 	FlightAware ADS-B (KVER)
Tue 18:29:59 	38.4441 	-92.3416 	↙ 227° 	94 	3,606 	64 Climbing 	FlightAware ADS-B (KDMO)
Tue 18:30:16 	38.4370 	-92.3461 	↓ 179° 	94 	3,606 	39 Climbing 	FlightAware ADS-B (KVER)
Tue 18:30:37 	38.4278 	-92.3461 	↓ 178° 	93 	3,631 	75 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:30:56 	38.4194 	-92.3458 	↓ 180° 	97 	3,656 	43 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:31:12 	38.4125 	-92.3455 	↓ 178° 	99 	3,656 	105 Climbing 	FlightAware ADS-B (KVER)
Tue 18:31:39 	38.4001 	-92.3452 	↓ 181° 	98 	3,731 	55 Climbing 	FlightAware ADS-B (KDMO)
Tue 18:32:05 	38.3880 	-92.3453 	↓ 182° 	86 	3,705 	-1 Descending 	FlightAware ADS-B (KVER)
Tue 18:32:22 	38.3826 	-92.3455 	↓ 182° 	65 	3,730 	105 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:32:48 	38.3752 	-92.3456 	↓ 179° 	58 	3,780 	33 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:33:08 	38.3696 	-92.3454 	↓ 178° 	61 	3,755 	-32 Descending 	FlightAware ADS-B (KTBN)
Tue 18:33:35 	38.3621 	-92.3456 	↓ 179° 	61 	3,755 	 Level 	FlightAware ADS-B (KVER)
Tue 18:33:53 	38.3570 	-92.3444 	↘ 151° 	61 	3,755 	 Level 	FlightAware ADS-B (KVER)
Tue 18:34:12 	38.3540 	-92.3393 	→ 106° 	62 	3,755 	39 Climbing 	FlightAware ADS-B (KSZL)
Tue 18:34:31 	38.3534 	-92.3322 	→ 95° 	60 	3,780 	38 Climbing 	FlightAware ADS-B (KTBN)
Tue 18:34:52 	38.3540 	-92.3252 	→ 82° 	63 	3,780 	 Level 	FlightAware ADS-B (KDMO)
