Time (CDT)	Latitude	Longitude	Course	kts	feet	Rate	Reporting Facility
Tue 18:37:59    Departure (KJEF) @ Tuesday 18:37:59 CDT		 FlightAware
Tue 18:37:59	38.6014	-92.1744	← 273°	83	1,231	 Level	 FlightAware ADS-B (KCOU)
Tue 18:39:09	38.5825	-92.1777	↘ 121°	104	1,600	118 Climbing	 FlightAware ADS-B (KCOU)
Tue 18:39:25	38.5788	-92.1695	↘ 120°	103	1,400	-409 Descending	 FlightAware ADS-B (KJEF)
Tue 18:39:53	38.5728	-92.1548	↘ 116°	102	1,300	-77 Descending	 FlightAware ADS-B (KVER)
Tue 18:43:20	38.6006	-92.1807	↙ 220°	94	1,100	27 Climbing	 FlightAware ADS-B (KVER)
Tue 18:43:39	38.5938	-92.1867	↙ 207°	89	1,400	514 Climbing	 FlightAware ADS-B (KCOU)
Tue 18:43:55	38.5874	-92.1840	↘ 122°	107	1,400	 Level	 FlightAware ADS-B (KJEF)
Tue 18:44:15	38.5820	-92.1733	↘ 124°	101	1,400	-154 Descending	 FlightAware ADS-B (KCOU)
Tue 18:44:34	38.5776	-92.1646	↘ 121°	100	1,300	-154 Descending	 FlightAware ADS-B (KVER)
Tue 18:44:54	38.5730	-92.1540	↘ 119°	93	1,300	-26 Descending	 FlightAware ADS-B (KVER)
Tue 18:48:23	38.5943	-92.1809	↙ 212°	84	1,200	 Level	 FlightAware ADS-B (KCOU)
Tue 18:48:40	38.5884	-92.1829	↓ 156°	94	1,300	158 Climbing	 FlightAware ADS-B (KVER)
Tue 18:49:01	38.5825	-92.1724	↘ 123°	100	1,300	 Level	 FlightAware ADS-B (KJEF)
Tue 18:49:22	38.5772	-92.1615	↘ 122°	102	1,300	162 Climbing	 FlightAware ADS-B (KCOU)
Tue 18:49:38	38.5736	-92.1544	↘ 124°	88	1,400	-26 Descending	 FlightAware ADS-B (KVER)
Tue 18:53:11	38.5931	-92.1823	↙ 216°	82	1,200	-26 Descending	 FlightAware ADS-B (KJEF)
Tue 18:53:28	38.5873	-92.1826	↘ 138°	98	1,300	146 Climbing	 FlightAware ADS-B (KVER)
Tue 18:53:52	38.5808	-92.1710	↘ 124°	102	1,300	 Level	 FlightAware ADS-B (KJEF)
Tue 18:54:09	38.5766	-92.1622	↘ 118°	101	1,300	 Level	 FlightAware ADS-B (KCOU)
Tue 18:54:25	38.5734	-92.1545	↘ 119°	94	1,300	-27 Descending	 FlightAware ADS-B (KVER)
Tue 18:57:49	38.5949	-92.1789	↙ 220°	83	1,200	27 Climbing	 FlightAware ADS-B (KVER)
